Marca de Tiempo,Uso de Memoria (%)
10:19:31,51.7
10:19:32,51.7
10:19:33,51.7
10:19:34,51.6
10:19:35,51.6
10:19:36,51.6
10:19:37,51.8
10:19:38,51.8
10:19:39,51.8
10:19:40,51.8
10:19:41,51.8
10:19:42,52.2
10:19:43,52.1
10:19:44,52.1
10:19:45,52.0
10:19:46,52.1
10:19:47,51.8
10:19:48,51.2
10:19:49,50.5
10:19:50,49.8
10:19:51,49.5
10:19:52,49.5
10:19:53,49.5
10:19:54,49.4
10:19:55,49.3
10:19:56,49.3
10:19:57,49.3
10:19:58,49.3
10:19:59,49.3
10:20:00,49.3
10:20:01,49.5
10:20:02,49.5
10:20:03,49.5
10:20:04,49.5
10:20:05,52.7
10:20:06,54.4
10:20:07,54.7
10:20:08,55.2
10:20:09,55.7
10:20:10,55.8
10:20:11,55.9
10:20:12,55.9
10:20:13,55.9
10:20:14,56.4
10:20:15,56.3
10:20:16,56.3
10:20:17,56.4
10:20:18,56.5
10:20:19,56.8
10:20:20,56.8
10:20:21,57.0
10:20:22,57.5
10:20:23,57.3
10:20:24,57.4
10:20:25,58.2
10:20:26,57.9
10:20:27,58.1
10:20:28,59.2
10:20:29,59.1
10:20:30,59.0
10:20:31,59.0
10:20:32,59.1
10:20:33,59.2
10:20:34,59.1
10:20:35,59.2
10:20:36,59.1
10:20:37,59.1
10:20:38,58.8
10:20:39,59.1
10:20:40,59.2
10:20:41,58.9
10:20:42,58.6
10:20:43,58.6
10:20:44,58.6
10:20:45,58.5
10:20:46,58.8
10:20:47,58.7
10:20:48,58.6
10:20:49,58.5
10:20:50,58.5
10:20:51,58.5
10:20:52,58.5
10:20:53,58.5
10:20:54,58.2
10:20:55,57.7
10:20:56,57.7
10:20:57,58.6
10:20:58,59.2
10:20:59,59.6
10:21:00,59.9
10:21:01,60.1
10:21:02,60.1
10:21:03,60.4
10:21:04,60.4
10:21:05,60.2
10:21:06,60.6
10:21:07,61.1
10:21:08,61.2
10:21:09,61.4
10:21:10,61.8
10:21:11,62.0
10:21:12,62.9
10:21:13,63.3
10:21:14,63.3
