Marca de Tiempo,Uso de CPU (%)
10:38:11,7.3
10:38:13,11.0
10:38:15,10.6
10:38:17,7.8
10:38:19,8.3
10:38:21,15.2
10:38:23,10.2
10:38:25,10.6
10:38:27,11.2
10:38:29,9.5
10:38:31,9.5
10:38:33,8.1
10:38:35,10.1
10:38:37,10.5
10:38:39,8.6
10:38:42,9.6
10:38:44,9.0
10:38:46,9.1
10:38:48,10.3
10:38:50,9.1
10:38:52,7.0
10:38:54,10.1
10:38:56,18.2
10:38:58,9.9
10:39:00,8.6
10:39:02,8.2
10:39:04,9.7
10:39:06,10.4
10:39:08,11.5
10:39:10,12.4
10:39:12,10.5
10:39:14,9.2
10:39:16,11.8
10:39:18,13.2
10:39:20,15.0
10:39:22,16.6
10:39:24,7.3
10:39:26,10.1
10:39:28,8.9
10:39:30,7.5
10:39:32,9.2
10:39:34,8.5
10:39:36,6.7
10:39:38,7.5
10:39:40,7.6
10:39:42,7.5
10:39:44,7.2
10:39:46,10.9
10:39:48,13.5
10:39:50,14.2
10:39:52,8.0
10:39:54,8.5
10:39:56,7.0
10:39:58,30.1
10:40:00,17.6
10:40:02,20.5
10:40:04,9.3
10:40:06,6.9
10:40:08,8.2
10:40:10,7.5
10:40:12,11.0
10:40:14,7.9
10:40:16,7.1
10:40:18,9.5
10:40:20,7.9
10:40:22,8.5
10:40:24,7.6
10:40:26,7.0
10:40:28,7.1
10:40:30,7.3
10:40:32,7.2
10:40:34,8.5
10:40:36,7.2
10:40:38,6.0
10:40:40,8.4
10:40:42,6.9
10:40:44,6.2
10:40:46,8.7
10:40:48,27.3
10:40:50,8.7
10:40:52,8.9
10:40:54,9.3
10:40:56,11.2
10:40:58,9.8
10:41:00,23.3
10:41:02,17.6
10:41:04,16.4
10:41:06,12.8
10:41:08,13.6
10:41:10,14.3
10:41:12,12.5
10:41:14,14.2
10:41:16,12.3
10:41:18,12.6
10:41:20,13.5
10:41:22,10.5
10:41:24,11.0
10:41:26,12.2
10:41:28,8.0
10:41:30,6.6
10:41:32,10.7
10:41:34,9.2
10:41:36,6.6
10:41:38,8.4
10:41:40,13.5
10:41:42,15.3
10:41:44,6.6
10:41:46,10.7
10:41:48,11.5
10:41:50,8.9
10:41:52,10.9
10:41:54,13.4
10:41:56,13.0
10:41:58,11.8
10:42:00,10.9
10:42:02,13.8
10:42:04,12.5
10:42:06,9.3
10:42:08,7.2
10:42:10,7.8
10:42:12,8.3
10:42:14,8.2
10:42:16,8.6
10:42:18,7.7
10:42:20,8.2
10:42:22,8.4
10:42:24,6.7
10:42:26,6.9
10:42:28,7.3
10:42:30,6.9
10:42:32,8.1
10:42:34,8.6
10:42:36,6.3
10:42:38,6.1
10:42:40,7.6
10:42:42,9.1
10:42:44,8.3
10:42:46,8.1
10:42:48,7.9
10:42:50,8.2
10:42:52,7.9
10:42:54,7.5
10:42:56,8.0
10:42:58,8.9
10:43:00,7.1
10:43:02,7.6
10:43:04,8.4
10:43:06,7.9
10:43:08,6.7
10:43:10,7.7
